county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,3.2,9.4,44.81,Low,2023-04-06
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.5,2.1,23.53,Low,2023-04-06
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,1.7,2.7,98.52,Low,2023-04-06
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.5,2.1,57.21,Low,2023-04-06
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.4,2.5,34.27,Low,2023-04-06
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.7,3.5,21.35,Low,2023-04-06
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.5,2.1,32.89,Low,2023-04-06
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.6,7.0,27.17,Low,2023-04-06
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.6,7.0,28.83,Low,2023-04-06
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,2.3,4.1,33.60,Low,2023-04-06
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.5,2.1,27.67,Low,2023-04-06
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,2.2,4.0,24.74,Low,2023-04-13
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.2,2.0,23.91,Low,2023-04-13
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,1.1,1.9,84.10,Low,2023-04-13
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.2,2.0,62.42,Low,2023-04-13
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.4,2.3,37.26,Low,2023-04-13
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.3,4.7,14.24,Low,2023-04-13
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.2,2.0,28.94,Low,2023-04-13
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.9,4.2,33.68,Low,2023-04-13
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.8,0.9,28.95,Low,2023-04-13
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.9,4.5,25.86,Low,2023-04-13
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.8,3.4,24.04,Low,2023-04-13
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.8,0.9,27.55,Low,2023-04-13
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.9,4.2,18.58,Low,2023-04-13
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.4,2.3,42.80,Low,2023-04-13
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.8,3.4,18.17,Low,2023-04-13
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.4,2.3,28.26,Low,2023-04-13
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.3,4.7,29.68,Low,2023-04-13
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.8,3.4,16.84,Low,2023-04-13
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.8,3.4,19.94,Low,2023-04-13
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.9,4.5,25.36,Low,2023-04-13
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.2,2.0,25.84,Low,2023-04-13
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.4,2.8,20.43,Low,2023-04-20
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.4,2.8,16.39,Low,2023-04-20
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.7,3.3,23.39,Low,2023-04-20
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.1,2.0,25.23,Low,2023-04-20
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.8,2.2,29.20,Low,2023-04-20
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,2.3,46.13,Low,2023-04-20
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.4,2.8,16.80,Low,2023-04-20
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,2.3,30.34,Low,2023-04-20
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.3,5.4,34.97,Low,2023-04-20
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,3.9,9.4,18.73,Low,2023-04-20
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.1,2.0,25.41,Low,2023-04-20
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,1.2,1.6,119.75,Low,2023-04-20
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.1,2.0,55.15,Low,2023-04-20
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,2.3,33.88,Low,2023-04-20
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.3,5.4,18.51,Low,2023-04-20
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.1,2.0,29.30,Low,2023-04-20
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.8,2.2,22.82,Low,2023-04-20
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.6,1.3,20.91,Low,2023-04-20
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.7,3.3,23.59,Low,2023-04-20
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.4,2.8,16.03,Low,2023-04-20
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.6,1.3,16.15,Low,2023-04-20
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.6,3.1,10.86,Low,2023-04-27
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.4,0.4,16.08,Low,2023-04-27
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.4,2.6,23.11,Low,2023-04-27
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.0,1.8,4.81,Low,2023-04-27
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.4,0.4,12.35,Low,2023-04-27
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,3.2,2.7,10.70,Low,2023-04-27
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.0,1.4,26.28,Low,2023-04-27
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,0.6,0.3,43.27,Low,2023-04-27
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.0,1.4,30.91,Low,2023-04-27
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,2.2,22.72,Low,2023-04-27
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.9,2.7,11.39,Low,2023-04-27
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.0,1.4,16.90,Low,2023-04-27
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.6,3.1,28.82,Low,2023-04-27
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,2.2,40.23,Low,2023-04-27
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.0,1.8,10.63,Low,2023-04-27
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,2.2,19.63,Low,2023-04-27
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.9,2.7,15.66,Low,2023-04-27
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.0,1.8,17.74,Low,2023-04-27
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,1.0,1.8,15.40,Low,2023-04-27
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.4,2.6,21.74,Low,2023-04-27
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.0,1.4,18.24,Low,2023-04-27
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,1.7,1.3,10.03,Low,2023-05-11
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.6,18.27,Low,2023-05-11
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,0.4,1.1,16.60,Low,2023-05-11
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.6,18.91,Low,2023-05-11
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,1.9,15.94,Low,2023-05-11
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.8,2.4,18.51,Low,2023-05-11
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.6,16.36,Low,2023-05-11
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.7,2.2,14.12,Low,2023-05-11
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.3,0.9,15.28,Low,2023-05-11
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.1,2.1,16.97,Low,2023-05-11
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.8,2.2,19.24,Low,2023-05-11
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.3,0.9,9.50,Low,2023-05-11
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.7,2.2,10.24,Low,2023-05-11
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,1.9,26.93,Low,2023-05-11
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.8,2.2,15.43,Low,2023-05-11
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.1,1.9,19.04,Low,2023-05-11
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.8,2.4,26.63,Low,2023-05-11
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.8,2.2,15.27,Low,2023-05-11
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.8,2.2,16.19,Low,2023-05-11
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.1,2.1,17.95,Low,2023-05-11
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.6,20.37,Low,2023-05-11
